"","a2","a3","a4","b","gamma","l","mu","p","phi1","phi2","phi3","phi4","ql","r2","r3","r4","t1","t2","t3","t4","vL","y1","y2","z1","z2","z3","z4","Error"
"1",0.105652248,0.131520202,0.070481149,0.97654058,0.524266165,0.000562594,0.03905741,0.292209529,0.734845676,0.754501712,0.793892835,0.33117347,29.61375806,0.175348553,0.104873813,0.181558845,0.083729561,0.081051151,0.066386975,0.004869436,9.86e-05,0.251006296,0.492070759,0.868996216,0.527805621,0.793508601,0.446132434,145465.8422
"2",0.19799447,0.170678772,0.014611848,0.941645784,0.17015369,0.167873073,0.012058724,0.256619874,0.621729675,0.626534685,0.316136434,0.340313518,24.39035242,0.031987367,0.147298332,0.192631729,0.097429802,0.087603875,0.034092862,0.024533386,4.91e-05,0.951193138,0.993263325,0.727660768,0.897433767,0.597936157,0.163646586,198233.249
"3",0.16232503,0.082383888,0.104721417,0.567310897,0.994414743,0.020178261,0.011674287,0.280876055,0.604662579,0.686513103,0.339358498,0.39346352,24.78637873,0.174960521,0.123939195,0.043692026,0.081167238,0.071839996,0.041611744,0.01380399,0.000116744,0.838336258,0.01494215,0.70075209,0.560909375,0.785866517,0.708762339,220624.8671
"4",0.004270387,0.008086105,0.02379398,0.598038502,0.177427294,0.002780391,0.046238652,0.269129579,0.69138871,0.55849618,0.363853086,0.371453967,24.05091465,0.062102362,0.028597048,0.160012543,0.094060916,0.086676307,0.061287914,0.035645276,0.000125986,0.014512227,0.345805506,0.851781449,0.865021219,0.804385657,0.671115246,238950.9778
"5",0.034181515,0.019913144,0.067571649,0.614742336,0.612099818,0.002687942,0.001837947,0.265345165,0.646916946,0.57792335,0.317640474,0.494152255,20.05578533,0.183731154,0.03975573,0.117869788,0.099743607,0.093082206,0.050804588,0.010197679,0.000187593,0.144508062,0.278726895,0.63941993,0.732406798,0.729848392,0.387482959,361088.5189
"6",0.029135798,0.003383381,0.00641845,0.512652149,0.411842009,0.00108667,0.036755366,0.295043289,0.854354834,0.50746622,0.310721251,0.320402802,10.37242522,0.025294113,0.098817457,0.173638488,0.061844777,0.082767738,0.084551456,0.022075693,0.000821072,0.634818675,0.85171742,0.871430685,0.606498898,0.871418438,0.380679282,411879.4028
"7",0.036887648,0.000803078,0.000552024,0.502064221,0.882047889,0.003181569,0.025546164,0.206668576,0.669263262,0.526111667,0.309293517,0.408902022,15.85466322,0.061032796,0.06356677,0.03525706,0.022623222,0.094309243,0.074289591,0.098261657,0.00087861,0.258002891,0.116122857,0.877830412,0.825462941,0.732558585,0.729771804,412255.6455
"8",0.047576327,0.002142904,0.010542638,0.501061106,0.416287008,0.001125012,0.025904338,0.286038756,0.690971104,0.513641247,0.339029477,0.407157032,18.76482792,0.045864398,0.092357829,0.091440643,0.006122248,0.052431864,0.051054897,0.018030033,0.000944438,0.166188493,0.805165349,0.880373541,0.84034124,0.675606059,0.353814305,412322.1526
"9",0.044084593,0.001992177,0.006915017,0.500731691,0.226712062,0.003843316,0.029771506,0.298635854,0.660422009,0.558353805,0.341830211,0.308302952,10.97189774,0.140726821,0.02901104,0.008553194,0.00547566,0.052544756,0.08219518,0.017393623,0.00103032,0.037615808,0.64469281,0.871645309,0.839273476,0.80519582,0.603277009,412882.674
"10",0.057343508,0.004258012,0.005941481,0.51260785,0.964259908,0.000355741,0.036721467,0.271051589,0.645802076,0.519912868,0.333687238,0.471299998,15.72217457,0.039524542,0.028239102,0.07724626,0.057306084,0.060070714,0.072195809,0.066853962,0.000602376,0.003455387,0.551850655,0.861123726,0.822496565,0.887526613,0.560792918,428081.511
"11",0.063327701,0.005235772,0.000204643,0.501523148,0.887240482,0.000808906,0.028438518,0.270942913,0.672576479,0.625036101,0.314248557,0.446690651,19.86892804,0.007220133,0.043753347,0.016006548,0.040431756,0.050276983,0.043745863,0.067568999,0.000748367,0.092259602,0.239826194,0.769771118,0.801232838,0.734936467,0.552305597,440632.3646
"12",0.031047144,0.001010143,0.005164214,0.505051237,0.606598561,0.002216019,0.010938914,0.260359829,0.72730089,0.554373432,0.312209147,0.310665452,9.93086979,0.150724872,0.041351825,0.180734166,0.00624331,0.095483485,0.089301305,0.036609685,0.001007202,0.155034892,0.846765502,0.893046487,0.684279962,0.894434889,0.797845538,442341.3006
"13",0.036880492,0.006768417,0.002405089,0.500244658,0.916370356,9.5e-05,0.011862419,0.283227584,0.856481657,0.531579836,0.305753831,0.30722434,11.56306551,0.099467013,0.139410191,0.144961782,0.00010063,0.090998551,0.068610581,0.055102233,0.000977694,0.296155876,0.785211902,0.761447443,0.896539869,0.875020462,0.745797601,445350.3874
"14",0.022226371,0.003798624,0.001671316,0.529089216,0.864648844,0.000379859,0.037613134,0.279181292,0.782579338,0.64341866,0.300209465,0.347326839,16.72940178,0.133701919,0.022810449,0.054143429,0.018671802,0.080542011,0.052331799,0.049182798,0.000933314,0.19020627,0.828989547,0.890971119,0.72564737,0.797625051,0.721398001,447743.3581
"15",0.097379181,0.002982997,0.006689287,0.502614128,0.228454202,0.001398257,0.032648414,0.249491282,0.771859197,0.614401321,0.309421554,0.300221916,15.84055019,0.029848274,0.030182986,0.04973604,0.002730777,0.020798814,0.063015886,0.019839598,0.001022214,0.992082643,0.911168019,0.89204817,0.772041332,0.758942022,0.689945264,450893.2033
"16",0.064539974,0.002024833,0.000899629,0.502714851,0.726516607,0.002241409,0.039633419,0.24918416,0.752910117,0.587771951,0.357822941,0.304803364,20.79901272,0.009465841,0.075714459,0.167350364,0.015781441,0.030442565,0.059674687,0.037467728,0.000918999,0.072986349,0.968778551,0.793483272,0.899645997,0.880970476,0.761955577,456139.4739
"17",0.074498521,0.002295022,0.000879691,0.502273062,0.875968052,0.000798965,0.025819127,0.223898063,0.622356345,0.703845905,0.338030303,0.380564273,12.92842838,0.101155451,0.017075205,0.140535267,0.071616508,0.051018437,0.096602933,0.093550381,0.000696007,0.904806096,0.57981226,0.876849331,0.548632261,0.710030195,0.738241155,456526.1433
